START_DATE*,END_DATE*,Year,Month,Date,CATEGORY*,START*,Week_day,Hour,STOP*,MILES*,PURPOSE*,len_Miles
2016-01-01 21:11:00,2016-01-01 21:17:00,2016,1,2016-01-01,Business,Fort Pierce,Friday,21,Fort Pierce,5.1,Meal/Entertain,Normal
2016-01-02 01:25:00,2016-01-02 01:37:00,2016,1,2016-01-02,Business,Fort Pierce,Saturday,1,Fort Pierce,5.0,NA,Normal
2016-01-02 20:25:00,2016-01-02 20:38:00,2016,1,2016-01-02,Business,Fort Pierce,Saturday,20,Fort Pierce,4.8,Errand/Supplies,Small
2016-01-05 17:31:00,2016-01-05 17:45:00,2016,1,2016-01-05,Business,Fort Pierce,Tuesday,17,Fort Pierce,4.7,Meeting,Small
2016-01-06 14:42:00,2016-01-06 15:49:00,2016,1,2016-01-06,Business,Fort Pierce,Wednesday,14,West Palm Beach,63.7,Customer Visit,Long
2016-01-06 17:15:00,2016-01-06 17:19:00,2016,1,2016-01-06,Business,West Palm Beach,Wednesday,17,West Palm Beach,4.3,Meal/Entertain,Small
2016-01-06 17:30:00,2016-01-06 17:35:00,2016,1,2016-01-06,Business,West Palm Beach,Wednesday,17,Palm Beach,7.1,Meeting,Normal
2016-01-07 13:27:00,2016-01-07 13:33:00,2016,1,2016-01-07,Business,Cary,Thursday,13,Cary,0.8,Meeting,Small
2016-01-10 08:05:00,2016-01-10 08:25:00,2016,1,2016-01-10,Business,Cary,Sunday,8,Morrisville,8.3,Meeting,Normal
2016-01-10 12:17:00,2016-01-10 12:44:00,2016,1,2016-01-10,Business,Jamaica,Sunday,12,New York,16.5,Customer Visit,Normal
2016-01-10 15:08:00,2016-01-10 15:51:00,2016,1,2016-01-10,Business,New York,Sunday,15,Queens,10.8,Meeting,Normal
2016-01-10 18:18:00,2016-01-10 18:53:00,2016,1,2016-01-10,Business,Elmhurst,Sunday,18,New York,7.5,Meeting,Normal
2016-01-10 19:12:00,2016-01-10 19:32:00,2016,1,2016-01-10,Business,Midtown,Sunday,19,East Harlem,6.2,Meeting,Normal
2016-01-11 08:55:00,2016-01-11 09:21:00,2016,1,2016-01-11,Business,East Harlem,Monday,8,NoMad,6.4,Temporary Site,Normal
2016-01-11 11:56:00,2016-01-11 12:03:00,2016,1,2016-01-11,Business,Flatiron District,Monday,11,Midtown,1.6,Errand/Supplies,Small
2016-01-11 13:32:00,2016-01-11 13:46:00,2016,1,2016-01-11,Business,Midtown,Monday,13,Midtown East,1.7,Meal/Entertain,Small
2016-01-11 14:30:00,2016-01-11 14:43:00,2016,1,2016-01-11,Business,Midtown East,Monday,14,Midtown,1.9,Meal/Entertain,Small
2016-01-12 12:33:00,2016-01-12 12:49:00,2016,1,2016-01-12,Business,Midtown,Tuesday,12,Hudson Square,1.9,Meal/Entertain,Small
2016-01-12 12:53:00,2016-01-12 13:09:00,2016,1,2016-01-12,Business,Hudson Square,Tuesday,12,Lower Manhattan,4.0,Meal/Entertain,Small
2016-01-12 14:42:00,2016-01-12 14:56:00,2016,1,2016-01-12,Business,Lower Manhattan,Tuesday,14,Hudson Square,1.8,Errand/Supplies,Small
2016-01-12 15:13:00,2016-01-12 15:28:00,2016,1,2016-01-12,Business,Hudson Square,Tuesday,15,Hell's Kitchen,2.4,Customer Visit,Small
2016-01-12 15:42:00,2016-01-12 15:54:00,2016,1,2016-01-12,Business,Hell's Kitchen,Tuesday,15,Midtown,2.0,Errand/Supplies,Small
2016-01-12 16:02:00,2016-01-12 17:00:00,2016,1,2016-01-12,Business,New York,Tuesday,16,Queens County,15.1,Meeting,Normal
2016-01-13 13:54:00,2016-01-13 14:07:00,2016,1,2016-01-13,Business,Downtown,Wednesday,13,Gulfton,11.2,Meeting,Normal
2016-01-13 15:00:00,2016-01-13 15:28:00,2016,1,2016-01-13,Business,Gulfton,Wednesday,15,Downtown,11.8,Meeting,Normal
2016-01-14 16:29:00,2016-01-14 17:05:00,2016,1,2016-01-14,Business,Houston,Thursday,16,Houston,21.9,Customer Visit,Long
2016-01-14 21:39:00,2016-01-14 21:45:00,2016,1,2016-01-14,Business,Eagan Park,Thursday,21,Jamestown Court,3.9,Errand/Supplies,Small
2016-01-15 00:41:00,2016-01-15 01:01:00,2016,1,2016-01-15,Business,Morrisville,Friday,0,Cary,8.0,Errand/Supplies,Normal
2016-01-15 11:43:00,2016-01-15 12:03:00,2016,1,2016-01-15,Business,Cary,Friday,11,Durham,10.4,Meal/Entertain,Normal
2016-01-15 13:26:00,2016-01-15 13:44:00,2016,1,2016-01-15,Business,Durham,Friday,13,Cary,10.4,Meal/Entertain,Normal
2016-01-18 14:55:00,2016-01-18 15:06:00,2016,1,2016-01-18,Business,Cary,Monday,14,Cary,4.8,Meal/Entertain,Small
2016-01-18 16:13:00,2016-01-18 16:24:00,2016,1,2016-01-18,Business,Farmington Woods,Monday,16,Whitebridge,4.7,Meal/Entertain,Small
2016-01-19 09:09:00,2016-01-19 09:23:00,2016,1,2016-01-19,Business,Whitebridge,Tuesday,9,Lake Wellingborough,7.2,NA,Normal
2016-01-19 10:55:00,2016-01-19 11:09:00,2016,1,2016-01-19,Business,Lake Wellingborough,Tuesday,10,Whitebridge,7.6,Temporary Site,Normal
2016-01-20 10:36:00,2016-01-20 11:11:00,2016,1,2016-01-20,Business,Cary,Wednesday,10,Raleigh,17.1,Meeting,Normal
2016-01-20 11:48:00,2016-01-20 12:19:00,2016,1,2016-01-20,Business,Fayetteville Street,Wednesday,11,Umstead,15.1,Meeting,Normal
2016-01-20 13:25:00,2016-01-20 14:19:00,2016,1,2016-01-20,Business,Raleigh,Wednesday,13,Cary,40.2,Customer Visit,Long
2016-01-21 14:25:00,2016-01-21 14:29:00,2016,1,2016-01-21,Business,Cary,Thursday,14,Cary,1.6,Errand/Supplies,Small
2016-01-21 14:43:00,2016-01-21 14:51:00,2016,1,2016-01-21,Business,Cary,Thursday,14,Cary,2.4,Meal/Entertain,Small
2016-01-21 16:01:00,2016-01-21 16:06:00,2016,1,2016-01-21,Business,Cary,Thursday,16,Cary,1.0,Meal/Entertain,Small
2016-01-26 10:41:00,2016-01-26 10:50:00,2016,1,2016-01-26,Business,Whitebridge,Tuesday,10,Hazelwood,2.0,Meal/Entertain,Small
2016-01-26 12:33:00,2016-01-26 12:41:00,2016,1,2016-01-26,Business,Hazelwood,Tuesday,12,Whitebridge,2.3,Errand/Supplies,Small
2016-01-26 16:24:00,2016-01-26 16:32:00,2016,1,2016-01-26,Business,Whitebridge,Tuesday,16,Westpark Place,1.9,Errand/Supplies,Small
2016-01-26 17:17:00,2016-01-26 17:22:00,2016,1,2016-01-26,Business,Cary,Tuesday,17,Cary,1.4,Errand/Supplies,Small
2016-01-26 17:27:00,2016-01-26 17:29:00,2016,1,2016-01-26,Business,Cary,Tuesday,17,Cary,0.5,Errand/Supplies,Small
